pullreq,reason,tag
http://github.com/chiliproject/chiliproject/pull/488,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/572,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/653,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/489,superseded,superseded
http://github.com/aeolusproject/conductor/pull/235,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/571,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/790,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/465,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/471,superseded,superseded
http://github.com/boto/boto/pull/841,superseded,superseded
http://github.com/autotest/autotest/pull/322,superseded,superseded
http://github.com/diaspora/diaspora/pull/3958,superseded,superseded
http://github.com/chiliproject/chiliproject/pull/660,superseded,superseded
http://github.com/chriseppstein/compass/pull/1021,superseded,superseded
http://github.com/drapergem/draper/pull/488,superseded,superseded
http://github.com/fog/fog/pull/1147,superseded,superseded
http://github.com/rails/rails/pull/12104,superseded by other commit,superseded
http://github.com/sympy/sympy/pull/1626,"superseded, also errors in code",superseded
http://github.com/chiliproject/chiliproject/pull/739,superseded,superseded
http://github.com/boto/boto/pull/689,to be resubmitted,superseded
http://github.com/cgeo/c-geo-opensource/pull/514,to be resubmitted by author,superseded
http://github.com/resque/resque/pull/860,core team working on feature that will superseed the PR,superseded
http://github.com/boto/boto/pull/1248,fixed by other commit (superseded),superseded
http://github.com/codahale/metrics/pull/376,same feature implemeted in other PR,superseded
http://github.com/cucumber/cucumber-jvm/pull/434,different implementation based on this pullreq,superseded
http://github.com/chiliproject/chiliproject/pull/749,superseded,superseded
http://github.com/intridea/grape/pull/78,"pr too big, request by merger to re-impl in new pull req",superseded
http://github.com/carrierwaveuploader/carrierwave/pull/400,failed tests,tests
http://github.com/aeolusproject/conductor/pull/259,tests didn't run,tests
http://github.com/divio/django-cms/pull/853,?,unknown
http://github.com/gatein/gatein-portal/pull/53,?,unknown
http://github.com/elasticsearch/elasticsearch/pull/3214,? closed by author,unknown
http://github.com/candlepin/subscription-manager/pull/99,?closed by author,unknown
http://github.com/Catrobat/Catroid/pull/237,?closed by author,unknown
http://github.com/bundler/bundler/pull/1015,?closed by author,unknown
http://github.com/bundler/bundler/pull/2525,?closed by author,unknown
http://github.com/dimagi/commcare-hq/pull/995,?closed by author,unknown
http://github.com/dana-i2cat/opennaas/pull/21,?closed by author,unknown
http://github.com/DSpace/DSpace/pull/162,?closed by author,unknown
http://github.com/avoinministerio/avoinministerio/pull/383,?closed by author,unknown
http://github.com/alphagov/frontend/pull/404,?closed by author,unknown
http://github.com/everzet/capifony/pull/427,?closed by author,unknown
http://github.com/candlepin/subscription-manager/pull/257,?closed by author,unknown
http://github.com/rails/rails/pull/10030,"?closed by author, commenter added that conventions not used",unknown
http://github.com/avoinministerio/avoinministerio/pull/366,"closed by author, marked not for merge",unknown
http://github.com/divio/django-cms/pull/884,?closed by author,unknown
http://github.com/boto/boto/pull/1307,?closed by author,unknown
http://github.com/k9mail/k-9/pull/31,,
http://github.com/hornetq/hornetq/pull/965,,
http://github.com/imathis/octopress/pull/1036,,
http://github.com/imathis/octopress/pull/789,,
http://github.com/chriseppstein/compass/pull/307,,
http://github.com/diaspora/diaspora/pull/571,,
http://github.com/gregbell/active_admin/pull/446,,
http://github.com/celery/celery/pull/1268,,
http://github.com/diaspora/diaspora/pull/3180,,
http://github.com/jayway/maven-android-plugin/pull/215,,
http://github.com/gatein/gatein-portal/pull/227,,
http://github.com/buildbot/buildbot/pull/250,,
http://github.com/alibaba/druid/pull/53,,
http://github.com/celery/celery/pull/595,,
http://github.com/elasticsearch/elasticsearch/pull/2367,,
http://github.com/jbosstm/narayana/pull/149,,
http://github.com/celery/celery/pull/780,,
http://github.com/chiliproject/chiliproject/pull/651,,
http://github.com/jnicklas/carrierwave/pull/444,,
http://github.com/diaspora/diaspora/pull/4272,,
http://github.com/diaspora/diaspora/pull/558,,
http://github.com/ipython/ipython/pull/2711,,
http://github.com/drapergem/draper/pull/384,,
http://github.com/kennethreitz/requests/pull/645,,
http://github.com/cucumber/cucumber-jvm/pull/188,,
http://github.com/infinispan/infinispan/pull/1893,,
http://github.com/infinispan/infinispan/pull/1627,,
http://github.com/saltstack/salt/pull/6829,,
http://github.com/spree/spree/pull/2248,,
http://github.com/spree/spree/pull/3595,,
http://github.com/rails/rails/pull/11955,,
http://github.com/django/django/pull/526,,
http://github.com/django/django/pull/305,,
http://github.com/rails/rails/pull/9188,,
http://github.com/rails/rails/pull/11191,,
http://github.com/rails/rails/pull/10340,,
http://github.com/django/django/pull/356,,
http://github.com/wildfly/wildfly/pull/4368,,
http://github.com/spree/spree/pull/1799,,
http://github.com/wildfly/wildfly/pull/4359,,
