"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.926093378888253,0.85799029300737,"0.923143671529014","0.943408268917098",1
"3","binlogregr",0.758649717587196,0.602762298519983,"0.945619335347432","0.560633997588823",1
"4","naive bayes",0.723088919559895,0.593834262088801,"0.933722338434438","0.555953478476704",1
"11","randomforest",0.927272503917405,0.858919048475043,"0.923603902844094","0.946944424728512",2
"31","binlogregr",0.759644567229207,0.604829528431901,"0.949128170535393","0.562069699765775",2
"41","naive bayes",0.721403249671048,0.594822937264066,"0.935022052927025","0.556462488466179",2
"12","randomforest",0.92523920116482,0.86026724189586,"0.927728704232234","0.941679626749611",3
"32","binlogregr",0.764074224762058,0.601474024806759,"0.946788138330188","0.559804891842217",3
"42","naive bayes",0.726617866183893,0.59200671100725,"0.934962050424868","0.554856496536123",3
"13","randomforest",0.924042724031713,0.856072862364432,"0.918080569846577","0.946443812233286",4
"33","binlogregr",0.754299727246215,0.604140451794595,"0.943811074918567","0.561770981507824",4
"43","naive bayes",0.7198947536153,0.593984061357781,"0.93491297114987","0.556187766714083",4
"14","randomforest",0.927379870066083,0.862424351369165,"0.927284789185473","0.94268232646459",5
"34","binlogregr",0.758905572830788,0.596680448199413,"0.947747425869802","0.55657922498066",5
"44","naive bayes",0.718816771082086,0.587332973815088,"0.93512004968089","0.551656234615655",5
"15","randomforest",0.92043144736019,0.855713344118881,"0.924415961987522","0.939028713222262",6
"35","binlogregr",0.757076171855707,0.601324225537779,"0.945199007913074","0.559872385678837",6
"45","naive bayes",0.72305495987085,0.593265024866679,"0.934193292360922","0.555689471818504",6
"16","randomforest",0.92492771126798,0.861166037509737,"0.925041734568147","0.944369925873632",7
"36","binlogregr",0.755451177345561,0.59985619270178,"0.946341463414634","0.558806918460995",7
"46","naive bayes",0.717144624453815,0.58987956138774,"0.935483870967742","0.553335686551359",7
"17","randomforest",0.929300148001973,0.862004913416022,"0.930227007097871","0.941644936218197",8
"37","binlogregr",0.76167418422722,0.600695068608065,"0.949464368886819","0.559059835083515",8
"47","naive bayes",0.722624793854393,0.591826951884475,"0.939481102540444","0.554443583057298",8
"18","randomforest",0.925885052882884,0.859668044819941,"0.92403904083592","0.943795568769024",9
"38","binlogregr",0.758904710016812,0.601653783929534,"0.946668236402166","0.559956112408862",9
"48","naive bayes",0.721765550235797,0.591167835100965,"0.934426229508197","0.554257804204714",9
"19","randomforest",0.927110268093227,0.861465636047696,"0.928223718379074","0.939712311380623",10
"39","binlogregr",0.7575801435293,0.600725028461861,"0.949602751096881","0.559194753913411",10
"49","naive bayes",0.718413642759237,0.590808316855414,"0.936347845376447","0.553871104216613",10
