"","classifier","auc","acc","run"
"1","randomforest",0.69136890219414,0.528355767626712,1
"2","multinomregr",0.602327060393083,0.431741306558739,1
"3","naivebayes",0.59156297307132,0.411830049822904,1
"4","randomforest",0.697471595000931,0.536391529068097,2
"5","multinomregr",0.602451514680099,0.431120547078261,2
"6","naivebayes",0.634222764626938,0.392534644014013,2
"7","randomforest",0.685068891605228,0.522391409737835,3
"8","multinomregr",0.585462292140921,0.413412381583751,3
"9","naivebayes",0.601898638347906,0.390530433136053,3
"10","randomforest",0.696641258522515,0.526554762385477,4
"11","multinomregr",0.602425841092807,0.435715764703657,4
"12","naivebayes",0.588579888878848,0.392668930837934,4
"13","randomforest",0.68752601943801,0.523069590614107,5
"14","multinomregr",0.597647845682178,0.43010956489933,5
"15","naivebayes",0.589296262292125,0.413719442920401,5
"16","randomforest",0.680604738480161,0.509646449093964,6
"17","multinomregr",0.599815856281455,0.430375252680035,6
"18","naivebayes",0.595566110873974,0.418141066490053,6
"19","randomforest",0.683765185123536,0.520743409174742,7
"20","multinomregr",0.604533688896639,0.437690959208283,7
"21","naivebayes",0.592209535580257,0.41731984696595,7
"22","randomforest",0.690960271502245,0.535698865754195,8
"23","multinomregr",0.598881600734698,0.429040674210127,8
"24","naivebayes",0.645635083419976,0.366265795584514,8
"25","randomforest",0.692772759561606,0.532044227748925,9
"26","multinomregr",0.606765603890675,0.437191388630657,9
"27","naivebayes",0.598958156464396,0.421907470001978,9
"28","randomforest",0.682089065020086,0.520745968287486,10
"29","multinomregr",0.601848556751162,0.43537523393078,10
"30","naivebayes",0.580424519711714,0.408621825799976,10
