"","classifier","auc","acc","run"
"1","randomforest",0.696637768286593,0.537147156110754,1
"2","multinomregr",0.604203794202978,0.440431896162857,1
"3","naivebayes",0.615882329858278,0.397208247530248,1
"4","randomforest",0.698172851073515,0.543139679795983,2
"5","multinomregr",0.62726563033331,0.461634017279694,2
"6","naivebayes",0.663536371128557,0.39930901438926,2
"7","randomforest",0.715617438120499,0.55843991512366,3
"8","multinomregr",0.614196416567137,0.451072751503251,3
"9","naivebayes",0.642691592456626,0.384478707862044,3
"10","randomforest",0.703182195105436,0.533098284170175,4
"11","multinomregr",0.602575181499335,0.439253195341632,4
"12","naivebayes",0.609036728742656,0.369325882979904,4
"13","randomforest",0.704315952244676,0.544258117428373,5
"14","multinomregr",0.601951121700432,0.436083001308569,5
"15","naivebayes",0.634415191577662,0.381887004005131,5
"16","randomforest",0.694365955984688,0.530455098160258,6
"17","multinomregr",0.612755059222461,0.447275921525533,6
"18","naivebayes",0.638234118376184,0.403332652565616,6
"19","randomforest",0.707411087917892,0.545685999466099,7
"20","multinomregr",0.615295901747108,0.447361976564368,7
"21","naivebayes",0.628744936130014,0.395147672025641,7
"22","randomforest",0.707315857731679,0.5402324045838,8
"23","multinomregr",0.613756438819194,0.445091571750028,8
"24","naivebayes",0.573363037011914,0.370954075116637,8
"25","randomforest",0.700559849462167,0.542509074736519,9
"26","multinomregr",0.615322959717924,0.449791862077671,9
"27","naivebayes",0.644077133578515,0.394291112865485,9
"28","randomforest",0.712382839168709,0.559336922116531,10
"29","multinomregr",0.610739642931276,0.442311448308594,10
"30","naivebayes",0.630977880499024,0.409112559795228,10
