"","classifier","auc","acc","run"
"1","randomforest",0.621062618595825,0.426900584795322,1
"2","multinomregr",0.594490740740741,0.380304393462288,1
"3","naivebayes",0.469534050179211,0.334982756035388,1
"4","randomforest",0.606230620155039,0.448409516172146,2
"5","multinomregr",0.681200897867565,0.525518386985909,2
"6","naivebayes",0.694040404040404,0.342708213999313,2
"7","randomforest",0.630711234205858,0.493977717554953,3
"8","multinomregr",0.6142081189251,0.459942411924119,3
"9","naivebayes",0.637731481481482,0.312697606142728,3
"10","randomforest",0.639990227558286,0.405663700407861,4
"11","multinomregr",0.666715542521994,0.523553948832036,4
"12","naivebayes",0.682845668387837,0.402614015572859,4
"13","randomforest",0.638517249004865,0.452380952380952,5
"14","multinomregr",0.621159511784512,0.446031746031746,5
"15","naivebayes",0.528061224489796,0.387301587301587,5
"16","randomforest",0.73323026180169,0.570458404074703,6
"17","multinomregr",0.664375,0.451046972269383,6
"18","naivebayes",0.717995169082126,0.363610639501981,6
"19","randomforest",0.609416809605489,0.465446823890847,7
"20","multinomregr",0.555587217156366,0.416210355109786,7
"21","naivebayes",0.69401283240569,0.401260504201681,7
"22","randomforest",0.664855671998529,0.457323574591127,8
"23","multinomregr",0.660736999625889,0.507120267461823,8
"24","naivebayes",0.665336879432624,0.34352579741574,8
"25","randomforest",0.632651072124756,0.459266409266409,9
"26","multinomregr",0.562510822510823,0.387516087516088,9
"27","naivebayes",0.593066570535929,0.340604890604891,9
"28","randomforest",0.637074166898728,0.408767794163332,10
"29","multinomregr",0.564583564583565,0.398963872594704,10
"30","naivebayes",0.640439700784528,0.397090802770316,10
