"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.821233311339037,0.854104254044338,"0.872066616199849","0.973928974069899",1
"3","binlogregr",0.801953908109577,0.599221090473337,"0.954992967651195","0.554185456595265",1
"4","naive bayes",0.65516838498984,0.569682444577591,"0.915157074065581","0.541079481397971",1
"11","randomforest",0.804252486158146,0.844337926902337,"0.862493715434892","0.977136752136752",2
"31","binlogregr",0.802145567919154,0.607249850209706,"0.947976878612717","0.558618233618234",2
"41","naive bayes",0.683614255765199,0.589514679448772,"0.915334773218142","0.549501424501424",2
"12","randomforest",0.805172522608397,0.843259436788496,"0.8668530047008","0.970287176570941",3
"32","binlogregr",0.801868531337492,0.607669263031756,"0.95109169281362","0.560136479954507",3
"42","naive bayes",0.680304360188402,0.584301977231875,"0.916045767443336","0.54961615012795",3
"13","randomforest",0.808395993789765,0.846794487717196,"0.863630645364197","0.972029457583912",4
"33","binlogregr",0.800886886460266,0.606231276213301,"0.955342007908624","0.55728650332814",4
"43","naive bayes",0.70348848110877,0.591671659676453,"0.925602873268343","0.549992918850021",4
"14","randomforest",0.816678794366333,0.851527860994608,"0.869023653749371","0.975692481628038",5
"34","binlogregr",0.804321737515151,0.601797483523068,"0.955498300318782","0.554833239118146",5
"44","naive bayes",0.708809197985978,0.58627920910725,"0.931055900621118","0.546565856416054",5
"15","randomforest",0.817703169703907,0.852486518873577,"0.869652239179385","0.976803036693378",6
"35","binlogregr",0.80425667928304,0.598202516476932,"0.958014381813964","0.552720371151413",6
"45","naive bayes",0.678354384965521,0.578310365488316,"0.921348314606742","0.544285111767187",6
"16","randomforest",0.817709128858921,0.846614739364889,"0.861093821760891","0.980982117513483",7
"36","binlogregr",0.812382644611665,0.611803475134811,"0.955056179775281","0.5603888731195",7
"46","naive bayes",0.702797813641664,0.593289394847214,"0.93033084109798","0.551518592108998",7
"17","randomforest",0.815188189377227,0.851288196524865,"0.865327380952381","0.982746478873239",8
"37","binlogregr",0.817683353130833,0.612282804074296,"0.958868894601542","0.561338028169014",8
"47","naive bayes",0.688930256236214,0.579748352306771,"0.9295097374584","0.544366197183099",8
"18","randomforest",0.819821948581413,0.849670461354104,"0.870187436676798","0.971287128712871",9
"38","binlogregr",0.805940372188479,0.608687837028161,"0.954918032786885","0.558628005657709",9
"48","naive bayes",0.664737720830908,0.572798082684242,"0.918185961713765","0.542503536067892",9
"19","randomforest",0.806119840318882,0.846974236069503,"0.865155917076976","0.971291189365012",10
"39","binlogregr",0.799233975108271,0.605871779508688,"0.954022988505747","0.557064064488757",10
"49","naive bayes",0.690387329501821,0.587956860395446,"0.921129503407984","0.547093763258379",10
