"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.832430919375997,0.8515,"0.893569844789357","0.937862950058072",1
"3","binlogregr",0.766830438088553,0.622,"0.965357250010715","0.570267131242741",1
"4","naive bayes",0.588620392884299,0.535,"0.897187832060691","0.521486643437863",1
"11","randomforest",0.830790411781683,0.834,"0.884099025892597","0.929328621908127",2
"31","binlogregr",0.801652118971287,0.6305,"0.962686567164179","0.576560659599529",2
"41","naive bayes",0.620457257856925,0.549,"0.887867647058823","0.52944640753828",2
"12","randomforest",0.840444141877219,0.863,"0.916289485638968","0.934180138568129",3
"32","binlogregr",0.621578883871635,0.55,"0.898448519040903","0.528290993071594",3
"42","naive bayes",0.559205990831064,0.5305,"0.87977369165488","0.516743648960739",3
"13","randomforest",0.86066384349754,0.856,"0.905723905723906","0.944900351699883",4
"33","binlogregr",0.865999154644273,0.632,"0.980392156862745","0.576787807737397",4
"43","naive bayes",0.609345965818919,0.5355,"0.887142857142857","0.522274325908558",4
"14","randomforest",0.807337142857143,0.846,"0.907962464162917","0.916571428571429",5
"34","binlogregr",0.802514285714286,0.5975,"0.967465753424658","0.554857142857143",5
"44","naive bayes",0.654518857142857,0.5655,"0.917785234899329","0.536571428571429",5
"15","randomforest",0.835460170146945,0.841,"0.909569130431823","0.904872389791183",6
"35","binlogregr",0.791099229967383,0.597,"0.951718457532411","0.555684454756381",6
"45","naive bayes",0.648517098759205,0.575,"0.918485999050783","0.54292343387471",6
"16","randomforest",0.848072137848189,0.849,"0.89337822671156","0.934040047114252",7
"36","binlogregr",0.81511166233746,0.62,"0.951142601654289","0.570082449941107",7
"46","naive bayes",0.679155063612041,0.5765,"0.917602996254682","0.545936395759717",7
"17","randomforest",0.861214548523456,0.841,"0.876169775567865","0.948748510131109",8
"37","binlogregr",0.756283360107789,0.646,"0.971611057382334","0.586412395709178",8
"47","naive bayes",0.675449181590033,0.594,"0.932806324110672","0.555423122765197",8
"18","randomforest",0.820577179291968,0.833,"0.88584215787219","0.922535211267606",9
"38","binlogregr",0.833686239055958,0.6205,"0.963636363636364","0.569835680751174",9
"48","naive bayes",0.67252331556909,0.588,"0.923076923076923","0.551643192488263",9
"19","randomforest",0.845201441458126,0.846,"0.884187082405345","0.935655253837072",10
"39","binlogregr",0.825242493691691,0.629,"0.972451581567604","0.574970484061393",10
"49","naive bayes",0.70006404765763,0.5995,"0.925170068027211","0.557851239669422",10
