"","classifier","auc","acc","run"
"1","randomforest",0.723325844210823,0.573059154617516,1
"2","multinomregr",0.605344061581312,0.439729317639839,1
"3","naivebayes",0.646963594106397,0.391997694162025,1
"4","randomforest",0.723607811130754,0.568030030863971,2
"5","multinomregr",0.611336079985055,0.443078960553102,2
"6","naivebayes",0.638963755639995,0.398049345676114,2
"7","randomforest",0.72484009125938,0.573592761375084,3
"8","multinomregr",0.609036870218358,0.442352445772593,3
"9","naivebayes",0.641454764086286,0.376778530529697,3
"10","randomforest",0.722476418922398,0.569100853918285,4
"11","multinomregr",0.610554813953697,0.445963359112021,4
"12","naivebayes",0.643614941830966,0.392919262935178,4
"13","randomforest",0.724734116675913,0.574231537354503,5
"14","multinomregr",0.607756655381273,0.440312257605761,5
"15","naivebayes",0.628228365397353,0.383144902539566,5
"16","randomforest",0.726495213745197,0.575060269117401,6
"17","multinomregr",0.609919254161698,0.445711710494383,6
"18","naivebayes",0.646449230065648,0.391147573984096,6
"19","randomforest",0.723384021421503,0.570564194803792,7
"20","multinomregr",0.610395174635863,0.441615797732089,7
"21","naivebayes",0.650469368068833,0.397172770390523,7
"22","randomforest",0.723735838983351,0.573324951955753,8
"23","multinomregr",0.608824249851349,0.442699448186753,8
"24","naivebayes",0.635156139357026,0.389397192061928,8
"25","randomforest",0.722473930077717,0.56816200594676,9
"26","multinomregr",0.609881342969108,0.444090824421713,9
"27","naivebayes",0.632939073167121,0.394957307102533,9
"28","randomforest",0.720956079889692,0.56904810382821,10
"29","multinomregr",0.608878532068361,0.441644805167801,10
"30","naivebayes",0.638069328428893,0.385983007839906,10
