"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.909839417860808,0.856,"0.956270078378048","0.880755608028335",1
"3","binlogregr",0.783711831840175,0.6,"0.947627531882971","0.559622195985832",1
"4","naive bayes",0.753794630799978,0.603,"0.948620227000762","0.56198347107438",1
"11","randomforest",0.888674919013309,0.844,"0.946530850391404","0.866977829638273",2
"31","binlogregr",0.754110533573777,0.599,"0.956166981343935","0.557759626604434",2
"41","naive bayes",0.725514275689305,0.584,"0.939505142987844","0.548424737456243",2
"12","randomforest",0.898895233366435,0.849,"0.948111705358403","0.872641509433962",3
"32","binlogregr",0.697911494538232,0.576,"0.921447270007479","0.544811320754717",3
"42","naive bayes",0.679190975670308,0.5775,"0.922077922077922","0.546580188679245",3
"13","randomforest",0.909239766081871,0.845,"0.963553194628892","0.849122807017544",4
"33","binlogregr",0.769840693688243,0.602,"0.956746185987756","0.560233918128655",4
"43","naive bayes",0.723799153055051,0.585,"0.938185382223601","0.550877192982456",4
"14","randomforest",0.908651794215175,0.855,"0.954318890060956","0.874125874125874",5
"34","binlogregr",0.772727272727273,0.601,"0.958875923107278","0.559440559440559",5
"44","naive bayes",0.721018418201517,0.588,"0.939863956642159","0.552447552447552",5
"15","randomforest",0.884895534690367,0.8435,"0.949874686716792","0.869266055045872",6
"35","binlogregr",0.739884962729358,0.584,"0.956043912175649","0.548165137614679",6
"45","naive bayes",0.703805905963303,0.5745,"0.945488721804511","0.543004587155963",6
"16","randomforest",0.900313798285159,0.8435,"0.952755905511811","0.866348448687351",7
"36","binlogregr",0.748394177789564,0.604,"0.940616664406167","0.562052505966587",7
"46","naive bayes",0.701898995256195,0.589,"0.922026994163424","0.553699284009546",7
"17","randomforest",0.92379835873388,0.859,"0.953592906333862","0.88042203985932",8
"37","binlogregr",0.770382244339706,0.607,"0.957037767709361","0.562719812426729",8
"47","naive bayes",0.73106522796692,0.591,"0.942272979727853","0.553341148886284",8
"18","randomforest",0.893774227957437,0.861,"0.959235668789809","0.878316032295271",9
"38","binlogregr",0.759207707850942,0.592,"0.958212700980429","0.55363321799308",9
"48","naive bayes",0.703766336255864,0.581,"0.945724806411437","0.546712802768166",9
"19","randomforest",0.918352426073079,0.853,"0.962435233160622","0.860627177700348",10
"39","binlogregr",0.767235688800876,0.595,"0.954545454545455","0.555168408826945",10
"49","naive bayes",0.696772198965566,0.5735,"0.931313131313131","0.544134727061556",10
