"","classifier","auc","acc","prec","rec","run"
"1","randomforest",0.803691851465583,0.849421774821739,"0.862398411812147","0.981743060950632",1
"3","binlogregr",0.809438583875339,0.604320210917371,"0.955050401152026","0.552334204392966",1
"4","naive bayes",0.690863267459042,0.58739289352268,"0.924781341107872","0.545907196835935",1
"11","randomforest",0.810510927638637,0.845886512073821,"0.858864455211828","0.981749751455759",2
"31","binlogregr",0.814766919190557,0.609413386062676,"0.956716417910448","0.556135492117597",2
"41","naive bayes",0.691171938463122,0.5887111270897,"0.925319257077734","0.547862519528476",2
"12","randomforest",0.807818457987895,0.846575588711127,"0.861745133403819","0.981787258167387",3
"32","binlogregr",0.816320578958396,0.607855473665289,"0.957226666666667","0.554213025299412",3
"42","naive bayes",0.688152723400673,0.589550002995985,"0.925589350878488","0.547374388774715",3
"13","randomforest",0.812495705873983,0.850200731020433,"0.867802769250047","0.97683030046551",4
"33","binlogregr",0.820557623758326,0.605668404338187,"0.961157024793388","0.553075186909296",4
"43","naive bayes",0.706163581328345,0.590328959194679,"0.935482048478221","0.545845676400056",4
"14","randomforest",0.811055453635895,0.847144825933249,"0.862035799531225","0.9807924020129",5
"34","binlogregr",0.803124126059511,0.603571214572473,"0.952365863962822","0.551527393862074",5
"44","naive bayes",0.688351626676251,0.584336988435496,"0.918450212647385","0.544049897228719",5
"15","randomforest",0.81891763805108,0.851938402540596,"0.866641832248676","0.982456140350877",6
"35","binlogregr",0.804851886177187,0.598927437234106,"0.955385938507848","0.548967801028676",6
"45","naive bayes",0.692198760177914,0.585565342441129,"0.923533083645443","0.544035792291975",6
"16","randomforest",0.806581353852259,0.845646833243454,"0.858670148920549","0.984227353463588",7
"36","binlogregr",0.793372875390201,0.596021331415903,"0.950333574548659","0.547282415630551",7
"46","naive bayes",0.685195171239438,0.583228473845048,"0.913357400722022","0.542060390763766",7
"17","randomforest",0.816715957104778,0.84978129306729,"0.866537233043151","0.977839824697816",8
"37","binlogregr",0.797327941407845,0.602672418958595,"0.95236013986014","0.552378596168799",8
"47","naive bayes",0.6850439025725,0.583168554137456,"0.923764401852051","0.543260055135364",8
"18","randomforest",0.812020752840225,0.845107555875127,"0.856406598104802","0.984596819988643",9
"38","binlogregr",0.80384099364657,0.604829528431901,"0.959714219966018","0.55366269165247",9
"48","naive bayes",0.683232432443643,0.58526574390317,"0.921479904178866","0.544541453719477",9
"19","randomforest",0.810678903465629,0.85175864341782,"0.868785910567075","0.979783037475345",10
"39","binlogregr",0.811003311385151,0.602582539397208,"0.956540729416903","0.551880811496196",10
"49","naive bayes",0.680483403685291,0.583318353406435,"0.922603771919315","0.545012679628064",10
