"","classifier","auc","acc","run"
"1","randomforest",0.668632396164754,0.486557250823799,1
"2","multinomregr",0.619747201999708,0.442701668151958,1
"3","naivebayes",0.577886074694366,0.35174294129482,1
"4","randomforest",0.654786684695378,0.496685265457767,2
"5","multinomregr",0.569320393610334,0.400347377374359,2
"6","naivebayes",0.512946937579291,0.355615150798145,2
"7","randomforest",0.667618403734509,0.502160623712153,3
"8","multinomregr",0.623390635034471,0.458728086363905,3
"9","naivebayes",0.607134414049308,0.340153934492224,3
"10","randomforest",0.677149327029732,0.505727394158245,4
"11","multinomregr",0.594902417286178,0.4024658523772,4
"12","naivebayes",0.649865405829176,0.408060682750399,4
"13","randomforest",0.676113730784222,0.509295276989135,5
"14","multinomregr",0.604056038711825,0.448019019451448,5
"15","naivebayes",0.613604285268988,0.377662996714044,5
"16","randomforest",0.66399502450441,0.493756337824134,6
"17","multinomregr",0.587855543186444,0.414650634989618,6
"18","naivebayes",0.577914024972848,0.384457643214705,6
"19","randomforest",0.671464180518143,0.51045591431539,7
"20","multinomregr",0.625732062595681,0.452379615071352,7
"21","naivebayes",0.57768011216566,0.340392226537699,7
"22","randomforest",0.656184931438918,0.482140399985847,8
"23","multinomregr",0.583348360005362,0.428841497428612,8
"24","naivebayes",0.595527675220534,0.377964368820796,8
"25","randomforest",0.678975286719288,0.510569931771746,9
"26","multinomregr",0.622403747300424,0.467327872089777,9
"27","naivebayes",0.588963382395317,0.407247545569541,9
"28","randomforest",0.653554417386988,0.47878349042907,10
"29","multinomregr",0.597326131318032,0.432839616293445,10
"30","naivebayes",0.523269587228381,0.363993517953426,10
