"","classifier","auc","acc","run"
"1","randomforest",0.673930209322894,0.524246050544448,1
"2","multinomregr",0.597431122184159,0.437915681125308,1
"3","naivebayes",0.583799201236315,0.345658519524769,1
"4","randomforest",0.691086857950925,0.526538831209823,2
"5","multinomregr",0.614746733493401,0.466642396419747,2
"6","naivebayes",0.626747112558601,0.407983197184724,2
"7","randomforest",0.68785507034355,0.506301550722341,3
"8","multinomregr",0.621297512409294,0.45125556534503,3
"9","naivebayes",0.607750422654269,0.429133772292577,3
"10","randomforest",0.664279142069581,0.490833383270276,4
"11","multinomregr",0.590254023001728,0.431716817494475,4
"12","naivebayes",0.634898530249145,0.374673104564674,4
"13","randomforest",0.668963582653733,0.506660077339823,5
"14","multinomregr",0.603358925505991,0.42824989846394,5
"15","naivebayes",0.636760585876979,0.395855440611372,5
"16","randomforest",0.695294913304965,0.527653867260526,6
"17","multinomregr",0.603075380094433,0.433099787354264,6
"18","naivebayes",0.615279977367301,0.436560634395825,6
"19","randomforest",0.678671811366167,0.519966530245309,7
"20","multinomregr",0.615734677601961,0.452988907628806,7
"21","naivebayes",0.593300411522634,0.343115439202073,7
"22","randomforest",0.666264410750926,0.507297220568092,8
"23","multinomregr",0.604074202806134,0.439889476464125,8
"24","naivebayes",0.565913495419309,0.342552361508206,8
"25","randomforest",0.677796307572568,0.499984197652075,9
"26","multinomregr",0.604621695823214,0.442483372463603,9
"27","naivebayes",0.583663889244058,0.410860349148624,9
"28","randomforest",0.651820847399944,0.47700448441378,10
"29","multinomregr",0.587151634197385,0.414832547498984,10
"30","naivebayes",0.59729049488918,0.417675508061629,10
