"","classifier","auc","acc","run"
"1","randomforest",0.714582737270119,0.557595606945235,1
"2","multinomregr",0.604746639934387,0.434657556511255,1
"3","naivebayes",0.595191950764397,0.417241490233138,1
"4","randomforest",0.714136094253811,0.558516899264085,2
"5","multinomregr",0.600338887140379,0.432501264988783,2
"6","naivebayes",0.585890610714226,0.411702643740951,2
"7","randomforest",0.714189229505198,0.557528480816808,3
"8","multinomregr",0.601378195219258,0.428778816068795,3
"9","naivebayes",0.588114707363818,0.412759637158967,3
"10","randomforest",0.709893274876519,0.556617807867579,4
"11","multinomregr",0.600790197605759,0.433957813839246,4
"12","naivebayes",0.591351368583888,0.414423232077008,4
"13","randomforest",0.712953644707318,0.558176519314482,5
"14","multinomregr",0.605803257691186,0.434531821038665,5
"15","naivebayes",0.59116777698934,0.414981109135617,5
"16","randomforest",0.710132152361595,0.556790023097166,6
"17","multinomregr",0.595552322150398,0.424363896470501,6
"18","naivebayes",0.588167480172686,0.414002126593135,6
"19","randomforest",0.71574167105876,0.562162344777645,7
"20","multinomregr",0.601864369068509,0.431377670747698,7
"21","naivebayes",0.592953205339779,0.416595362894549,7
"22","randomforest",0.718003430051641,0.564607297672235,8
"23","multinomregr",0.601949425749838,0.431229793710344,8
"24","naivebayes",0.592122586760123,0.415996691293645,8
"25","randomforest",0.705369709884819,0.548067682240027,9
"26","multinomregr",0.597781940190161,0.428772003549058,9
"27","naivebayes",0.587401284006008,0.411921339766515,9
"28","randomforest",0.712344373586428,0.553735700923423,10
"29","multinomregr",0.597230060581572,0.428812150201892,10
"30","naivebayes",0.584194847446119,0.410545050704614,10
