"","classifier","auc","acc","run"
"1","randomforest",0.705701342374604,0.547328074093371,1
"2","multinomregr",0.601558358154336,0.430191024071913,1
"3","naivebayes",0.622850709471392,0.384782520274971,1
"4","randomforest",0.69656804540047,0.537932253342407,2
"5","multinomregr",0.59238710435062,0.423151286349713,2
"6","naivebayes",0.582977533236746,0.409227768000524,2
"7","randomforest",0.691143060614643,0.532805529962538,3
"8","multinomregr",0.596838934964966,0.427995092376503,3
"9","naivebayes",0.579245927814165,0.406060462919225,3
"10","randomforest",0.697574871437206,0.538800901787145,4
"11","multinomregr",0.599566671148157,0.434841134475365,4
"12","naivebayes",0.586815995537982,0.414232460079761,4
"13","randomforest",0.709911081867407,0.547641547844116,5
"14","multinomregr",0.604718866301408,0.437229666715578,5
"15","naivebayes",0.598561864626592,0.422975925099601,5
"16","randomforest",0.702216512906145,0.539784375069002,6
"17","multinomregr",0.59934266699825,0.431170086210159,6
"18","naivebayes",0.579930120114388,0.405328411627463,6
"19","randomforest",0.706673442374979,0.549199486517319,7
"20","multinomregr",0.604265078427869,0.439312819247026,7
"21","naivebayes",0.601429456827238,0.389965399899627,7
"22","randomforest",0.714657334118722,0.560319658824695,8
"23","multinomregr",0.598139755473726,0.431155128231822,8
"24","naivebayes",0.587875106034224,0.412105634578054,8
"25","randomforest",0.709906185140876,0.549267634051563,9
"26","multinomregr",0.600540947555678,0.433744040858705,9
"27","naivebayes",0.594085289484242,0.391209600596302,9
"28","randomforest",0.708248182621777,0.551753340689196,10
"29","multinomregr",0.59787003846674,0.428520770049391,10
"30","naivebayes",0.58723627748932,0.411041664594207,10
